3275.0,1.85E-4,,,
6552.0,2.79E-4,,,
13106.0,3.9E-4,,,
26213.0,4.83E-4,,,
52427.0,5.82E-4,,,
104856.0,6.81E-4,,,
209714.0,7.73E-4,,,
419429.0,8.74E-4,,,
838859.0,9.72E-4,,,
1677720.0,0.001064,,,
3355442.0,0.001155,,,
6710885.0,0.001259,,,
1.3421771E7,0.001363,,,
2.684682E7,0.00146,,,
5.3693643E7,0.001568,,,
1.07387288E8,0.001662,,,
3275.0,,1.85E-4,,
6552.0,,2.64E-4,,
13106.0,,3.5E-4,,
26213.0,,4.2E-4,,
52427.0,,4.76E-4,,
104856.0,,5.32E-4,,
209714.0,,5.74E-4,,
419429.0,,6.23E-4,,
838859.0,,6.44E-4,,
1677720.0,,6.67E-4,,
3355442.0,,6.81E-4,,
6710885.0,,7.04E-4,,
1.3421771E7,,7.29E-4,,
2.6844064E7,,7.52E-4,,
5.3688193E7,,7.73E-4,,
1.07376372E8,,7.77E-4,,
3275.0,,,1.85E-4,
6552.0,,,2.35E-4,
13106.0,,,2.81E-4,
26213.0,,,2.91E-4,
52427.0,,,2.95E-4,
104856.0,,,2.9E-4,
209714.0,,,2.81E-4,
419429.0,,,2.87E-4,
838859.0,,,2.91E-4,
1677720.0,,,2.84E-4,
3355442.0,,,2.69E-4,
6710885.0,,,2.86E-4,
1.3421771E7,,,2.99E-4,
2.6843544E7,,,3.15E-4,
5.3687091E7,,,3.22E-4,
1.07374184E8,,,3.09E-4,
3275.0,,,,1.85E-4
6552.0,,,,2.06E-4
13106.0,,,,2.41E-4
26213.0,,,,2.36E-4
52427.0,,,,2.21E-4
104856.0,,,,2.23E-4
209714.0,,,,2.26E-4
419429.0,,,,2.33E-4
838859.0,,,,2.26E-4
1677720.0,,,,2.17E-4
3355442.0,,,,2.17E-4
6710885.0,,,,2.33E-4
1.3421771E7,,,,2.39E-4
2.6843544E7,,,,2.47E-4
5.368709E7,,,,2.44E-4
1.07374181E8,,,,2.49E-4
